category,citywide_pct,citywide_n
no offense recorded,20.0,1926
theft / robbery,13.9,1343
mental health / welfare,13.0,1249
trespass,12.5,1201
violence / weapons,12.3,1189
other / unknown,9.6,927
drug – paraphernalia,5.3,511
alcohol,5.1,490
disorder / disturbance,4.4,422
vandalism,2.4,228
drug – possession,1.4,138
drug – dealing/sales,0.1,6
