site_id,label,address,opening_date,category,post_count,post_rate,pre_count,pre_rate,rate_change,rate_change_pct
site_golden_bear,Golden Bear Inn,1620 San Pablo Ave,2023-01-01,welfare check,53.0,1.343,2.0,0.167,1.176,704.2
site_golden_bear,Golden Bear Inn,1620 San Pablo Ave,2023-01-01,noise,44.0,1.115,3.0,0.25,0.865,346.0
site_golden_bear,Golden Bear Inn,1620 San Pablo Ave,2023-01-01,theft,47.0,1.191,6.0,0.5,0.691,138.2
site_golden_bear,Golden Bear Inn,1620 San Pablo Ave,2023-01-01,mental health,30.0,0.76,1.0,0.083,0.677,815.7
site_golden_bear,Golden Bear Inn,1620 San Pablo Ave,2023-01-01,battery,28.0,0.71,4.0,0.334,0.376,112.6
site_golden_bear,Golden Bear Inn,1620 San Pablo Ave,2023-01-01,family disturbance,18.0,0.456,2.0,0.167,0.289,173.1
site_golden_bear,Golden Bear Inn,1620 San Pablo Ave,2023-01-01,vandalism,11.0,0.279,0.0,0.0,0.279,
site_golden_bear,Golden Bear Inn,1620 San Pablo Ave,2023-01-01,trespassing,15.0,0.38,3.0,0.25,0.13,52.0
site_golden_bear,Golden Bear Inn,1620 San Pablo Ave,2023-01-01,assault,2.0,0.051,0.0,0.0,0.051,
site_golden_bear,Golden Bear Inn,1620 San Pablo Ave,2023-01-01,person down,2.0,0.051,0.0,0.0,0.051,
