site_id,label,address,opening_date,category,pre_count,post_count,pre_months,post_months,pre_rate,post_rate,rate_change,rate_change_pct,has_pre_post
hope_center_berkeley_way,Hope Center (Berkeley Way),2012 Berkeley Way,2022-09-01,disturbance,62.0,338.0,12.0,43.5,5.171,7.777,2.606,50.4,True
hope_center_berkeley_way,Hope Center (Berkeley Way),2012 Berkeley Way,2022-09-01,family disturbance,1.0,5.0,12.0,43.5,0.083,0.115,0.032,38.6,True
hope_center_berkeley_way,Hope Center (Berkeley Way),2012 Berkeley Way,2022-09-01,mental health,6.0,25.0,12.0,43.5,0.5,0.575,0.075,15.0,True
hope_center_berkeley_way,Hope Center (Berkeley Way),2012 Berkeley Way,2022-09-01,noise,4.0,12.0,12.0,43.5,0.334,0.276,-0.058,-17.4,True
hope_center_berkeley_way,Hope Center (Berkeley Way),2012 Berkeley Way,2022-09-01,person down,1.0,3.0,12.0,43.5,0.083,0.069,-0.014,-16.9,True
hope_center_berkeley_way,Hope Center (Berkeley Way),2012 Berkeley Way,2022-09-01,robbery,2.0,9.0,12.0,43.5,0.167,0.207,0.04,24.0,True
hope_center_berkeley_way,Hope Center (Berkeley Way),2012 Berkeley Way,2022-09-01,theft,37.0,111.0,12.0,43.5,3.086,2.554,-0.532,-17.2,True
hope_center_berkeley_way,Hope Center (Berkeley Way),2012 Berkeley Way,2022-09-01,trespassing,13.0,89.0,12.0,43.5,1.084,2.048,0.964,88.9,True
hope_center_berkeley_way,Hope Center (Berkeley Way),2012 Berkeley Way,2022-09-01,vandalism,2.0,13.0,12.0,43.5,0.167,0.299,0.132,79.0,True
hope_center_berkeley_way,Hope Center (Berkeley Way),2012 Berkeley Way,2022-09-01,welfare check,15.0,80.0,12.0,43.5,1.251,1.841,0.59,47.2,True
capri_1512,1512 University Ave,1512 University Ave,,assault,,,,,,0.016,,,False
capri_1512,1512 University Ave,1512 University Ave,,battery,,,,,,0.473,,,False
capri_1512,1512 University Ave,1512 University Ave,,disturbance,,,,,,2.175,,,False
capri_1512,1512 University Ave,1512 University Ave,,family disturbance,,,,,,0.221,,,False
capri_1512,1512 University Ave,1512 University Ave,,mental health,,,,,,0.284,,,False
capri_1512,1512 University Ave,1512 University Ave,,noise,,,,,,0.126,,,False
capri_1512,1512 University Ave,1512 University Ave,,person down,,,,,,0.142,,,False
capri_1512,1512 University Ave,1512 University Ave,,robbery,,,,,,0.189,,,False
capri_1512,1512 University Ave,1512 University Ave,,theft,,,,,,0.741,,,False
capri_1512,1512 University Ave,1512 University Ave,,trespassing,,,,,,0.631,,,False
capri_1512,1512 University Ave,1512 University Ave,,vandalism,,,,,,0.173,,,False
capri_1512,1512 University Ave,1512 University Ave,,welfare check,,,,,,1.466,,,False
